Source,Target,Weight
alejandcarls,madinaarifahh,1
ozozozyesoioioi,kompascom,1
kompascom,boahaya,1
kompascom,Nebulavexion,1
kompascom,abimandaru,1
kompascom,mic21144,1
kompascom,timunnmas,1
kompascom,JanuarIwan2023,1
kompascom,rommybrother,1
kompascom,LBMindo,1
kompascom,awiyanto65,1
kompascom,jamalkobain666_,1
kompascom,dian_fardiana,1
Tamagoo230505,kaiashere,1
kaiashere,xDalmatian,1
orlandodonny448,audahhrh23,1
orlandodonny448,susan_amelia46,1
orlandodonny448,hekyie,1
orlandodonny448,tanyarlfes,1
tanyarlfes,Jeonginsjell,1
tanyarlfes,xersfly,1
tanyarlfes,kleponmuncrat29,1
tanyarlfes,AJanitri,1
tanyarlfes,haetssal223,1
tanyarlfes,tkomen499,1
tanyarlfes,jupions,1
tanyarlfes,LopeeDopee,1
tanyarlfes,zousa_fernandez,1
Dedy44169434,toe_giman,1
rizahariati,ARSIPAJA,1
rizahariati,prabowo,1
ARSIPAJA,Fahmii_FR13,1
ARSIPAJA,TruthSpeller,1
ARSIPAJA,bakanosan1,1
ARSIPAJA,jamalkobain666_,1
ARSIPAJA,renanurfiana4,1
ARSIPAJA,bahasaaram,1
ARSIPAJA,CarolineLukita,1
prabowo,BANGSAygSUJUD,1
prabowo,kulukuluez,1
prabowo,K_Gen1,1
prabowo,ARisnawan82,1
prabowo,AprizalRiduan,1
prabowo,pu3sss,1
prabowo,otaknyakonslet,1
prabowo,SuciRamadh62759,1
prabowo,mochramdhani24,1
prabowo,awiyanto65,1
prabowo,bungalotus25,1
prabowo,Muslim_AntiPKI9,1
prabowo,sayno_KKN,2
ade_rusmaya,NenkMonica,1
NenkMonica,trikartikatika1,1
vivisverdict,sethrash666,1
bin9ban9bon9,aril_piterpen1,1
cherry_chayank,99propaganda,1
99propaganda,lapen_melon,1
SIBAYAKTOTO_ID,boxxtoc,1
boxxtoc,BukanInspirasi_,1
boxxtoc,linxxxc_,1
Nadishavia,tempodotco,1
tempodotco,teejara,1
tempodotco,uliieeeee,1
tempodotco,potatomax_,1
tempodotco,sayno_KKN,1
ciabjir,myshawti,1
ciabjir,tanyakanrl,1
myshawti,mohiqbal85,1
myshawti,doxkang,1
