Id,community,topic,Label
alejandcarls,0.0,Isu Finansial & Komersialisasi Pendidikan,alejandcarls
tahubulat926,,,tahubulat926
kompascom,1.0,Kritik Kebijakan Negara & Gerakan Politik,kompascom
ozozozyesoioioi,1.0,Kritik Kebijakan Negara & Gerakan Politik,ozozozyesoioioi
Tamagoo230505,2.0,Kebebasan Berpendapat & Tindakan Represif,Tamagoo230505
orlandodonny448,3.0,,orlandodonny448
noaaawwpd,,,noaaawwpd
Ari3Pras,,,Ari3Pras
moodmasyarakat,,,moodmasyarakat
alfatih212426,,,alfatih212426
xDalmatian,2.0,Kebebasan Berpendapat & Tindakan Represif,xDalmatian
Dedy44169434,4.0,,Dedy44169434
rizahariati,33.0,,rizahariati
BubbleImnida,,,BubbleImnida
ade_rusmaya,7.0,,ade_rusmaya
vivisverdict,8.0,,vivisverdict
adepedia,,,adepedia
ariel_heryanto,,,ariel_heryanto
bin9ban9bon9,9.0,,bin9ban9bon9
cherry_chayank,10.0,,cherry_chayank
SIBAYAKTOTO_ID,54.0,,SIBAYAKTOTO_ID
ArtaN7707,,,ArtaN7707
Nadishavia,54.0,,Nadishavia
fvntopia,,,fvntopia
ciabjir,13.0,,ciabjir
lapen_melon,10.0,,lapen_melon
twilightslig,,,twilightslig
AcrusiusT1,14.0,,AcrusiusT1
Nyi_Maheswari,15.0,,Nyi_Maheswari
Catatan_ali7,,,Catatan_ali7
teejara,54.0,,teejara
YasmineMirzha,,,YasmineMirzha
99propaganda,10.0,,99propaganda
Fahmii_FR13,33.0,,Fahmii_FR13
bismillahyuk_,54.0,,bismillahyuk_
rysanthel,16.0,,rysanthel
Ardians87485237,17.0,,Ardians87485237
officialfgmedia,,,officialfgmedia
panggilakubaso,,,panggilakubaso
AlienNotoNegoro,18.0,,AlienNotoNegoro
Baby_JanN_,19.0,,Baby_JanN_
KompasTV,45.0,,KompasTV
aquachrysus,,,aquachrysus
BukanInspirasi_,54.0,,BukanInspirasi_
sethrash666,8.0,,sethrash666
dimarsasongko98,54.0,,dimarsasongko98
rannnkyu,,,rannnkyu
tasawufcenter,,,tasawufcenter
Asukakura_,,,Asukakura_
ardisatriawan,25.0,,ardisatriawan
sayakeras,,,sayakeras
Dara_Cega,,,Dara_Cega
Pak_Doang,20.0,,Pak_Doang
just_view_point,,,just_view_point
hope_emak,,,hope_emak
matjanmi,21.0,,matjanmi
akuhanyaaku24,,,akuhanyaaku24
readwanss,,,readwanss
aenaheinm,,,aenaheinm
Fikrimakhluf,22.0,,Fikrimakhluf
kalderanews,,,kalderanews
pastiakandatang,23.0,,pastiakandatang
bbiblegum,,,bbiblegum
tekarok007,27.0,,tekarok007
Tribun_Bogor,24.0,,Tribun_Bogor
Coffeinwith_,25.0,,Coffeinwith_
Pixie_Parasols,,,Pixie_Parasols
salam4jari,22.0,,salam4jari
bilbiils_,25.0,,bilbiils_
ArifSuhendaar,,,ArifSuhendaar
elisutini,,,elisutini
BANGSAygSUJUD,45.0,,BANGSAygSUJUD
pendekar_keram,26.0,,pendekar_keram
dustviles,,,dustviles
pisan9_6oreng_,,,pisan9_6oreng_
curhatzamannow,25.0,,curhatzamannow
distriknewscom,,,distriknewscom
Sh2Bunny,,,Sh2Bunny
tribunnews,24.0,,tribunnews
BradPorcellato,,,BradPorcellato
abimandaru,1.0,Kritik Kebijakan Negara & Gerakan Politik,abimandaru
reftif_,,,reftif_
Makuchiiyo,28.0,,Makuchiiyo
Kikmi,29.0,,Kikmi
cupang_fish,19.0,,cupang_fish
AirdropNexGen,54.0,,AirdropNexGen
Hidupsebagai62,,,Hidupsebagai62
buyaalghifari,,,buyaalghifari
Hsssytt,31.0,,Hsssytt
sin_cannn,19.0,,sin_cannn
Just_mushlih,32.0,,Just_mushlih
KanNa_e,19.0,,KanNa_e
saseumchan,,,saseumchan
txtdrimedia,33.0,,txtdrimedia
dangaijoue,27.0,,dangaijoue
Muhamadsm_,34.0,,Muhamadsm_
fajaronline,,,fajaronline
__mas_har,,,__mas_har
MAGATS_,35.0,,MAGATS_
bndnews_id,,,bndnews_id
faizalassegaf,,,faizalassegaf
IswandySyahlan,,,IswandySyahlan
gangsterrandom,36.0,,gangsterrandom
boahaya,1.0,Kritik Kebijakan Negara & Gerakan Politik,boahaya
SupardiBwi,37.0,,SupardiBwi
FlowerC29758505,,,FlowerC29758505
FaktaSebenarny3,,,FaktaSebenarny3
Ramdan_dp,38.0,,Ramdan_dp
ofLuielle,,,ofLuielle
ayamkepal,26.0,,ayamkepal
wildzzz_,,,wildzzz_
BrdKelima,39.0,,BrdKelima
Naufalrazzaqu,35.0,,Naufalrazzaqu
SinFourth__,,,SinFourth__
uliieeeee,54.0,,uliieeeee
per_tamax,,,per_tamax
pramashton,,,pramashton
Carbaroxabane,40.0,,Carbaroxabane
Berpikirjernihh,,,Berpikirjernihh
MarietoniCarlos,,,MarietoniCarlos
agelmeip,41.0,,agelmeip
PurnamaAditya18,,,PurnamaAditya18
rajaterakhir404,,,rajaterakhir404
sariden_nesia,,,sariden_nesia
anothercupcakes,,,anothercupcakes
trikartikatika1,7.0,,trikartikatika1
Irvan897,45.0,,Irvan897
SelinaMona1,,,SelinaMona1
Nebulavexion,1.0,Kritik Kebijakan Negara & Gerakan Politik,Nebulavexion
Asura0599,42.0,,Asura0599
Uniliswara0,,,Uniliswara0
IjoelSi,22.0,,IjoelSi
PigaiVincentius,21.0,,PigaiVincentius
Zaynnhann,,,Zaynnhann
kulukuluez,25.0,,kulukuluez
Kaitoruh,43.0,,Kaitoruh
Deka_Ajaa,,,Deka_Ajaa
SINDOnews,,,SINDOnews
nvm_nettra,44.0,,nvm_nettra
publiktalks,,,publiktalks
Jeonginsjell,3.0,,Jeonginsjell
TruthSpeller,33.0,,TruthSpeller
democrazymedia,,,democrazymedia
xersfly,3.0,,xersfly
bakanosan1,33.0,,bakanosan1
Nita_Cantik21,,,Nita_Cantik21
SintaAlayidrus,,,SintaAlayidrus
sitimonika84,,,sitimonika84
memyselfni3am,,,memyselfni3am
nanogirefr78,27.0,,nanogirefr78
K_Gen1,54.0,,K_Gen1
Jakasamudera123,25.0,,Jakasamudera123
ARisnawan82,45.0,,ARisnawan82
gojorent,,,gojorent
job_chandra,46.0,,job_chandra
SiawFung88,,,SiawFung88
cherie_deux,,,cherie_deux
AndaraDewantara,27.0,,AndaraDewantara
kleponmuncrat29,3.0,,kleponmuncrat29
jamalkobain666_,33.0,,jamalkobain666_
AJanitri,3.0,,AJanitri
haetssal223,3.0,,haetssal223
lutfithe13th,,,lutfithe13th
buyadarwis16,,,buyadarwis16
tkomen499,3.0,,tkomen499
ak03l,27.0,,ak03l
ImaginarySteady,,,ImaginarySteady
HamdanLape571,,,HamdanLape571
AlwiHusin,,,AlwiHusin
bakso_kanji,27.0,,bakso_kanji
AprizalRiduan,63.0,,AprizalRiduan
zlebor02,54.0,,zlebor02
indonode,48.0,,indonode
hiyunoya,,,hiyunoya
HariMusola,49.0,,HariMusola
andil220,27.0,,andil220
zonderzulu,,,zonderzulu
BangE75172,50.0,,BangE75172
Enimarf,,,Enimarf
Lady_Caprico,51.0,,Lady_Caprico
twaeyjae,52.0,,twaeyjae
shda_agatha_,,,shda_agatha_
mic21144,1.0,Kritik Kebijakan Negara & Gerakan Politik,mic21144
timunnmas,22.0,,timunnmas
renanurfiana4,33.0,,renanurfiana4
ladywelsy,,,ladywelsy
KWijono,83.0,,KWijono
JanuarIwan2023,1.0,Kritik Kebijakan Negara & Gerakan Politik,JanuarIwan2023
shacolateeth,,,shacolateeth
jupions,3.0,,jupions
dewita83063101,45.0,,dewita83063101
aldonugrohoo,53.0,,aldonugrohoo
YHYMHMN,33.0,,YHYMHMN
rommybrother,1.0,Kritik Kebijakan Negara & Gerakan Politik,rommybrother
liz93958412,54.0,,liz93958412
NabilaKeisha7,,,NabilaKeisha7
indofelt,,,indofelt
kehed98,,,kehed98
TukangT89221,55.0,,TukangT89221
dancersejati07,,,dancersejati07
Twilight_Hunt99,56.0,,Twilight_Hunt99
LopeeDopee,3.0,,LopeeDopee
kasmir1962,,,kasmir1962
bimilindee,,,bimilindee
indoict,,,indoict
Best_Arek,,,Best_Arek
Jelli_cent,79.0,,Jelli_cent
LBMindo,1.0,Kritik Kebijakan Negara & Gerakan Politik,LBMindo
R19cakra,,,R19cakra
bahasaaram,33.0,,bahasaaram
KenSavitri35075,57.0,,KenSavitri35075
ahmad95521,1.0,Kritik Kebijakan Negara & Gerakan Politik,ahmad95521
om_jankrik,,,om_jankrik
nozelism,31.0,,nozelism
zzinospams,58.0,,zzinospams
wandha_repitha,,,wandha_repitha
devina_ryan,54.0,,devina_ryan
Lii_angl,,,Lii_angl
zynow3skeer,59.0,,zynow3skeer
zousa_fernandez,3.0,,zousa_fernandez
fagaraga777,60.0,,fagaraga777
Atung_Hai,25.0,,Atung_Hai
unclechoiminho,,,unclechoiminho
menakdobol,61.0,,menakdobol
Indria1969,63.0,,Indria1969
mufi_d,27.0,,mufi_d
SukaBaca2000,62.0,,SukaBaca2000
Dracarysthemall,63.0,,Dracarysthemall
lawlithh,,,lawlithh
bossnya,64.0,,bossnya
EkoApan,62.0,,EkoApan
zeronol0,65.0,,zeronol0
Rojir0,,,Rojir0
acalysis,,,acalysis
Ikhwanpcr,50.0,,Ikhwanpcr
mohiqbal85,13.0,,mohiqbal85
herculep638,94.0,,herculep638
NenkMonica,7.0,,NenkMonica
sulistryono_,,,sulistryono_
WeKa_Ronin,,,WeKa_Ronin
ZX_EX250J,45.0,,ZX_EX250J
Chernibirg,66.0,,Chernibirg
adepati_dolk,67.0,,adepati_dolk
Ray_mondy_,32.0,,Ray_mondy_
Mi9aWempy,,,Mi9aWempy
pu3sss,45.0,,pu3sss
heylutfi_,25.0,,heylutfi_
ningningfisip,,,ningningfisip
sootation,,,sootation
kafiradikalis,68.0,,kafiradikalis
caveinz,,,caveinz
dalbichu,31.0,,dalbichu
curug666,25.0,,curug666
InterQomink,69.0,,InterQomink
_Meneerreno69,45.0,,_Meneerreno69
otaknyakonslet,26.0,,otaknyakonslet
talinodayaka,70.0,,talinodayaka
Abby4mytruelove,,,Abby4mytruelove
hendrixjimnyyy,35.0,,hendrixjimnyyy
fsaidhamzah,71.0,,fsaidhamzah
BaimElHaqq,72.0,,BaimElHaqq
SuciRamadh62759,45.0,,SuciRamadh62759
oufinest,73.0,,oufinest
ShenoWirang,71.0,,ShenoWirang
mpujayaprema,,,mpujayaprema
figaromagnific0,,,figaromagnific0
nursyam_zulpian,45.0,,nursyam_zulpian
olickya,,,olickya
doflaminyo,74.0,,doflaminyo
cintat0,,,cintat0
DakotaGeorgy,27.0,,DakotaGeorgy
d3vilicious,75.0,,d3vilicious
arifnurrachmann,76.0,,arifnurrachmann
elricaptrr,77.0,,elricaptrr
doxkang,13.0,,doxkang
unsoedmfs,,,unsoedmfs
rakyatbiasa33,,,rakyatbiasa33
kangdede78,49.0,,kangdede78
ronce158,78.0,,ronce158
boxxtoc,54.0,,boxxtoc
iqbalajah_,73.0,,iqbalajah_
wahyu_djanti88,79.0,,wahyu_djanti88
meowwying,,,meowwying
suaradotcom,,,suaradotcom
saffronblossom,,,saffronblossom
mochramdhani24,45.0,,mochramdhani24
mas_kenarok,80.0,,mas_kenarok
danielumar_,81.0,,danielumar_
potatomax_,54.0,,potatomax_
garygargarin,,,garygargarin
sadili69920,54.0,,sadili69920
A_Nasution81,,,A_Nasution81
alpangg,,,alpangg
Kosimatkasah,62.0,,Kosimatkasah
gunq___,,,gunq___
migdodo74,35.0,,migdodo74
CarolineLukita,33.0,,CarolineLukita
fkrhsn0_0,,,fkrhsn0_0
yangmi3prnew,,,yangmi3prnew
AWolvies,22.0,,AWolvies
foxnative,22.0,,foxnative
DjM_46_531,,,DjM_46_531
HaubAkalam,,,HaubAkalam
ruliemaulana,,,ruliemaulana
alinkazuomi,54.0,,alinkazuomi
senenglariaja,82.0,,senenglariaja
awiyanto65,63.0,,awiyanto65
Paldi_amin18,22.0,,Paldi_amin18
Naandaa27,83.0,,Naandaa27
oatspie,,,oatspie
udanudinudan,54.0,,udanudinudan
WahyuDj99,56.0,,WahyuDj99
Singo_Yudho5,45.0,,Singo_Yudho5
bungalotus25,45.0,,bungalotus25
nopaynnogayn,,,nopaynnogayn
HaqDarul,84.0,,HaqDarul
tissue_______,63.0,,tissue_______
AMail17243,,,AMail17243
ikramjindan,85.0,,ikramjindan
Opposite6888,71.0,,Opposite6888
NurAlamSyhClcap,86.0,,NurAlamSyhClcap
FebrianiRetri,54.0,,FebrianiRetri
Akunberkahnih,22.0,,Akunberkahnih
anaklananc,,,anaklananc
grindc_sam,,,grindc_sam
Harsianto8,,,Harsianto8
Jawatimur24jam,,,Jawatimur24jam
IanPrihatmanto,87.0,,IanPrihatmanto
terlompatkata,,,terlompatkata
dind0y,81.0,,dind0y
LambeSahamjja,22.0,,LambeSahamjja
Maysa_Ingra,,,Maysa_Ingra
YunusHusein,,,YunusHusein
paranmaunn,,,paranmaunn
crazyhuman80535,88.0,,crazyhuman80535
argumen_rakyat,,,argumen_rakyat
almodovar_23,89.0,,almodovar_23
Thvsmile_,90.0,,Thvsmile_
netizenledger,,,netizenledger
juni_ibrahim,91.0,,juni_ibrahim
bintangnewtv,,,bintangnewtv
sejarah_harian,88.0,,sejarah_harian
Mihom43573Hadi,92.0,,Mihom43573Hadi
fat_dinos,57.0,,fat_dinos
tomuyie,,,tomuyie
remahankwasong,,,remahankwasong
Melihat_Indo,,,Melihat_Indo
eajtraveler,,,eajtraveler
Ginakyo2,35.0,,Ginakyo2
sigantengaduhai,88.0,,sigantengaduhai
CapitalInsight_,,,CapitalInsight_
buzzerkeadilann,89.0,,buzzerkeadilann
antondjawirr,93.0,,antondjawirr
jurigh107,27.0,,jurigh107
bambangsknt,88.0,,bambangsknt
Ga89684Galeh,63.0,,Ga89684Galeh
IntanKintania,22.0,,IntanKintania
ImMaskun,94.0,,ImMaskun
rzseri,,,rzseri
railforgii,88.0,,railforgii
Dark1Bot,27.0,,Dark1Bot
cacingkremyyy,88.0,,cacingkremyyy
roshanfaro,88.0,,roshanfaro
EvanoLuke46652,95.0,,EvanoLuke46652
alexseutya,57.0,,alexseutya
